TICKER,node_i,node_j,Investor_ID_i,Investor_ID_j,manager_i,manager_j,MI_ip,MI_jp,TE_ip,TE_jp,overlap_first_date,overlap_last_date,number_of_days,active_days_i,active_days_j,MI_ij,TE_ij
ZEL,1,2,18433,18427,2053.0,2053.0,0.002873,0.0059960000000000005,-0.003404,0.003543,2002-03-05,2007-04-18,1870,54,66,0.09777984244153592,0.0
ZEL,1,8,18433,18228,2053.0,1656.0,0.002873,0.007396,-0.003404,-0.001239,2002-03-05,2007-04-18,1870,54,164,0.009447484069402805,0.0
ZEL,4,6,18322,18317,1.0,1.0,0.006979000000000001,0.006318,-0.002059,-0.012797,2000-09-08,2002-03-06,544,92,50,0.033812970208524966,0.0
ZEL,4,49,18322,7304,1.0,635.0,0.006979000000000001,0.001972,-0.002059,-0.001923,2000-09-13,2007-09-12,2555,242,51,0.011140572445133138,0.007663554819468957
ZEL,4,57,18322,4934,1.0,697.0,0.006979000000000001,0.003826,-0.002059,0.000675,2000-09-11,2005-08-19,1803,199,54,0.014679174678109143,0.011860164227520849
ZEL,4,62,18322,3238,1.0,30.0,0.006979000000000001,0.004707,-0.002059,-0.006851,2000-09-12,2004-12-20,1560,173,85,0.010992591697169636,0.0
ZEL,6,47,18317,7936,1.0,,0.006318,0.004863,-0.012797,-0.008549,2000-09-18,2002-03-06,534,46,33,0.030012578493602237,0.0
ZEL,6,49,18317,7304,1.0,635.0,0.006318,0.001972,-0.012797,-0.001923,2000-09-13,2002-03-06,539,49,35,0.042753979106440916,0.0
ZEL,6,57,18317,4934,1.0,697.0,0.006318,0.003826,-0.012797,0.000675,2000-09-11,2002-03-06,541,50,53,0.03490231845038158,0.0
ZEL,7,20,18232,14968,,,0.0049380000000000005,0.001947,-0.006008,0.005461,2004-01-16,2007-09-20,1343,25,23,0.0131573481207765,0.0
ZEL,8,16,18228,15594,1656.0,627.0,0.007396,0.003153,-0.001239,0.001049,2001-11-21,2006-04-18,1609,33,81,0.0,0.013561493440922084
ZEL,8,26,18228,13342,1656.0,1656.0,0.007396,0.030506,-0.001239,-0.033836,2006-01-16,2007-03-08,416,150,114,0.03642346516745175,0.0
ZEL,8,27,18228,13341,1656.0,1656.0,0.007396,0.027716,-0.001239,-0.042962,2006-01-16,2007-03-08,416,150,111,0.05000041569305876,0.0
ZEL,8,54,18228,6141,1656.0,1.0,0.007396,0.018087,-0.001239,-0.008705,2000-12-29,2007-10-15,2481,201,254,0.009000474073511473,0.0
ZEL,12,15,16818,15858,731.0,599.0,0.001673,0.0025800000000000003,0.001841,-0.003922,2001-06-11,2007-02-16,2076,61,76,0.006616875727925301,0.0
ZEL,12,60,16818,4067,731.0,1.0,0.001673,0.005437,0.001841,-0.00172,2002-01-17,2007-02-16,1856,53,39,0.008801182075772372,0.0
ZEL,13,55,16511,5214,2054.0,635.0,0.044653,0.075154,-0.035388,-0.021653,2000-09-14,2001-05-02,230,94,60,0.08842631339527941,0.0
ZEL,15,45,15858,8234,599.0,,0.0025800000000000003,0.002483,-0.003922,0.002973,2000-09-13,2007-09-19,2562,108,44,0.006638938568050505,0.0
ZEL,16,19,15594,15103,627.0,627.0,0.003153,0.00366,0.001049,-0.013022999999999998,2004-01-13,2006-04-18,826,40,56,0.07715392037575472,0.0
ZEL,16,38,15594,10200,627.0,627.0,0.003153,0.004776,0.001049,-0.00073,2001-12-27,2005-06-23,1274,60,63,0.20334720942911635,0.0
ZEL,16,45,15594,8234,627.0,,0.003153,0.002483,0.001049,0.002973,2001-11-21,2006-04-18,1609,81,30,0.009606470877104586,0.0
ZEL,19,64,15103,2955,627.0,798.0,0.00366,0.010361,-0.013022999999999998,-0.003857,2004-01-13,2007-07-30,1294,58,121,0.012692135693276176,0.0
ZEL,20,21,14968,14963,,705.0,0.001947,0.0025670000000000003,0.005461,0.002523,2000-09-14,2007-09-03,2545,27,91,0.009370266061706543,0.0
ZEL,23,56,14653,5182,,1.0,0.00265,0.005695,-0.001748,-0.005719,2000-10-09,2004-01-30,1208,22,83,0.013546632245387774,0.0
ZEL,25,39,14450,10157,1.0,,0.000817,0.009487,-0.001103,-0.000798,2005-02-10,2007-08-14,915,32,37,0.023619518653959733,0.0
ZEL,25,60,14450,4067,1.0,1.0,0.000817,0.005437,-0.001103,-0.00172,2002-01-17,2007-08-14,2035,101,67,0.012285349270600814,0.0
ZEL,26,27,13342,13341,1656.0,1656.0,0.030506,0.027716,-0.033836,-0.042962,2006-01-16,2007-03-08,416,114,111,0.7475345507111937,0.0
ZEL,26,30,13342,11716,1656.0,1.0,0.030506,0.002989,-0.033836,0.004173,2006-01-16,2007-02-15,395,102,37,0.04442818792805735,0.0
ZEL,27,30,13341,11716,1656.0,1.0,0.027716,0.002989,-0.042962,0.004173,2006-01-16,2007-02-15,395,99,37,0.04394540998089661,0.0
ZEL,30,32,11716,11013,1.0,283.0,0.002989,0.002213,0.004173,-0.006026,2004-10-01,2007-02-15,867,64,53,0.02047811870532384,0.0
ZEL,31,54,11586,6141,712.0,1.0,0.019337,0.018087,-0.006325,-0.008705,2005-02-16,2007-06-19,853,111,27,0.019198479931454814,0.0
ZEL,32,61,11013,4066,283.0,596.0,0.002213,0.006212,-0.006026,-0.008003,2004-01-30,2007-07-09,1256,59,47,0.010611122216727576,0.0
ZEL,36,60,10515,4067,674.0,1.0,0.002435,0.005437,-0.006838,-0.00172,2003-07-21,2007-10-10,1542,78,88,0.019953870292975552,0.0
ZEL,38,45,10200,8234,627.0,,0.004776,0.002483,-0.00073,0.002973,2001-12-27,2005-06-23,1274,63,30,0.012539831741701759,0.0
ZEL,38,64,10200,2955,627.0,798.0,0.004776,0.010361,-0.00073,-0.003857,2001-12-27,2005-06-23,1274,63,160,0.011788911946804443,0.0
ZEL,39,60,10157,4067,,1.0,0.009487,0.005437,-0.000798,-0.00172,2005-02-10,2007-10-10,972,45,83,0.015391105699544988,0.0
ZEL,39,61,10157,4066,,596.0,0.009487,0.006212,-0.000798,-0.008003,2005-02-10,2007-07-09,879,28,28,0.01698054140207545,0.0
ZEL,41,47,9060,7936,718.0,,0.012563,0.004863,-0.012621,-0.008549,2000-09-18,2002-11-08,781,52,37,0.0224150060747136,0.0
ZEL,41,56,9060,5182,718.0,1.0,0.012563,0.005695,-0.012621,-0.005719,2000-09-12,2004-01-30,1235,72,92,0.013012177855686476,0.0
ZEL,41,64,9060,2955,718.0,798.0,0.012563,0.010361,-0.012621,-0.003857,2000-09-11,2005-05-27,1719,94,182,0.011783424959153363,0.0
ZEL,42,61,8684,4066,708.0,596.0,0.01486,0.006212,-0.008229,-0.008003,2003-08-12,2005-09-27,777,33,47,0.01839316609041194,0.0
ZEL,47,49,7936,7304,,635.0,0.004863,0.001972,-0.008549,-0.001923,2000-09-18,2002-11-08,781,37,33,0.020266447604059885,0.0
ZEL,49,56,7304,5182,635.0,1.0,0.001972,0.005695,-0.001923,-0.005719,2000-09-13,2004-01-30,1234,38,91,0.019713675995004336,0.0
ZEL,49,57,7304,4934,635.0,697.0,0.001972,0.003826,-0.001923,0.000675,2000-09-13,2005-08-19,1801,44,53,0.011668705884946284,0.0
ZEL,49,62,7304,3238,635.0,30.0,0.001972,0.004707,-0.001923,-0.006851,2000-09-13,2004-12-20,1559,39,84,0.018566454353427485,0.0
ZEL,56,57,5182,4934,1.0,697.0,0.005695,0.003826,-0.005719,0.000675,2000-09-12,2004-01-30,1235,92,52,0.014704287847586844,0.0
ZEL,56,62,5182,3238,1.0,30.0,0.005695,0.004707,-0.005719,-0.006851,2000-09-12,2004-01-30,1235,92,84,0.11607744610302242,0.0
ZEL,57,62,4934,3238,697.0,30.0,0.003826,0.004707,0.000675,-0.006851,2000-09-12,2004-12-20,1560,52,85,0.017567395553886325,0.0
ZEL,60,70,4067,1262,1.0,,0.005437,0.023846,-0.00172,-0.002764,2004-10-06,2007-10-10,1099,84,75,0.017813667169187357,0.0
ZEL,68,70,1312,1262,2100.0,,0.014982,0.023846,-0.006126,-0.002764,2005-02-10,2007-10-15,977,57,73,0.015657289852504832,0.0
